die_id,source,row,col,x_um,y_um,cell_name,site,test_enabled,bin,notes
D00058,gds_references,,,-8810.0,-64155.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00059,gds_references,,,-5286.0,-64155.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00060,gds_references,,,-1762.0,-64155.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00061,gds_references,,,1762.0,-64155.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00062,gds_references,,,5286.0,-64155.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00063,gds_references,,,8810.0,-64155.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00064,gds_references,,,12334.0,-64155.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00065,gds_references,,,15858.0,-64155.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00066,gds_references,,,19382.0,-64155.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00067,gds_references,,,-22906.0,-62510.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00068,gds_references,,,-19382.0,-62510.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00069,gds_references,,,-15858.0,-62510.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00070,gds_references,,,-12334.0,-62510.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00071,gds_references,,,-8810.0,-62510.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00072,gds_references,,,-5286.0,-62510.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00073,gds_references,,,-1762.0,-62510.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00074,gds_references,,,1762.0,-62510.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00075,gds_references,,,5286.0,-62510.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00076,gds_references,,,8810.0,-62510.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00077,gds_references,,,12334.0,-62510.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00078,gds_references,,,15858.0,-62510.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00079,gds_references,,,19382.0,-62510.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00080,gds_references,,,22906.0,-62510.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00081,gds_references,,,-26430.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00082,gds_references,,,-22906.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00083,gds_references,,,-19382.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00084,gds_references,,,-15858.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00085,gds_references,,,-12334.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00086,gds_references,,,-8810.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00087,gds_references,,,-5286.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00088,gds_references,,,-1762.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00089,gds_references,,,1762.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00090,gds_references,,,5286.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00091,gds_references,,,8810.0,-60865.0,single_die,,1,UNTESTED,Generated from selected top-cell references
