parent_cell,reference_index,referenced_cell,origin_x_um,origin_y_um,rotation,magnification,x_reflection,columns,rows,spacing_x_um,spacing_y_um,bbox_min_x_um,bbox_min_y_um,bbox_max_x_um,bbox_max_y_um,bbox_width_um,bbox_height_um,bbox_center_x_um,bbox_center_y_um
HPLMP01S1A,28,test_die,-8810.0,-16450.0,0.0,1.0,False,,,,,-10572.0,-17272.5,-7048.0,-15627.5,3524.0,1645.0,-8810.0,-16450.0
HPLMP01S1A,29,single_die,-8810.0,-14805.0,0.0,1.0,False,,,,,-10572.0,-15627.5,-7048.0,-13982.5,3524.0,1645.0,-8810.0,-14805.0
HPLMP01S1A,30,single_die,-8810.0,4935.0,0.0,1.0,False,,,,,-10572.0,4112.5,-7048.0,5757.5,3524.0,1645.0,-8810.0,4935.0
HPLMP01S1A,31,test_die,-8810.0,23030.0,0.0,1.0,False,,,,,-10572.0,22207.5,-7048.0,23852.5,3524.0,1645.0,-8810.0,23030.0
HPLMP01S1A,32,single_die,-8810.0,24675.0,0.0,1.0,False,,,,,-10572.0,23852.5,-7048.0,25497.5,3524.0,1645.0,-8810.0,24675.0
HPLMP01S1A,33,test_die,-8810.0,42770.0,0.0,1.0,False,,,,,-10572.0,41947.5,-7048.0,43592.5,3524.0,1645.0,-8810.0,42770.0
HPLMP01S1A,34,single_die,-8810.0,44415.0,0.0,1.0,False,,,,,-10572.0,43592.5,-7048.0,45237.5,3524.0,1645.0,-8810.0,44415.0
HPLMP01S1A,35,test_die,-44050.0,42770.0,0.0,1.0,False,,,,,-45812.0,41947.5,-42288.0,43592.5,3524.0,1645.0,-44050.0,42770.0
HPLMP01S1A,36,single_die,-44050.0,44415.0,0.0,1.0,False,,,,,-45812.0,43592.5,-42288.0,45237.5,3524.0,1645.0,-44050.0,44415.0
HPLMP01S1A,37,test_die,-44050.0,23030.0,0.0,1.0,False,,,,,-45812.0,22207.5,-42288.0,23852.5,3524.0,1645.0,-44050.0,23030.0
HPLMP01S1A,38,single_die,-40526.0,46060.0,0.0,1.0,False,,,,,-42288.0,45237.5,-38764.0,46882.5,3524.0,1645.0,-40526.0,46060.0
HPLMP01S1A,39,single_die,-47574.0,-1645.0,0.0,1.0,False,,,,,-49336.0,-2467.5,-45812.0,-822.5,3524.0,1645.0,-47574.0,-1645.0
HPLMP01S1A,40,single_die,-44050.0,-1645.0,0.0,1.0,False,,,,,-45812.0,-2467.5,-42288.0,-822.5,3524.0,1645.0,-44050.0,-1645.0
HPLMP01S1A,41,single_die,-40526.0,-1645.0,0.0,1.0,False,,,,,-42288.0,-2467.5,-38764.0,-822.5,3524.0,1645.0,-40526.0,-1645.0
HPLMP01S1A,42,single_die,-47574.0,-46060.0,0.0,1.0,False,,,,,-49336.0,-46882.5,-45812.0,-45237.5,3524.0,1645.0,-47574.0,-46060.0
HPLMP01S1A,43,single_die,-54622.0,-37835.0,0.0,1.0,False,,,,,-56384.0,-38657.5,-52860.0,-37012.5,3524.0,1645.0,-54622.0,-37835.0
HPLMP01S1A,44,single_die,-54622.0,-36190.0,0.0,1.0,False,,,,,-56384.0,-37012.5,-52860.0,-35367.5,3524.0,1645.0,-54622.0,-36190.0
HPLMP01S1A,45,single_die,47574.0,-46060.0,0.0,1.0,False,,,,,45812.0,-46882.5,49336.0,-45237.5,3524.0,1645.0,47574.0,-46060.0
HPLMP01S1A,46,single_die,40526.0,52640.0,0.0,1.0,False,,,,,38764.0,51817.5,42288.0,53462.5,3524.0,1645.0,40526.0,52640.0
HPLMP01S1A,47,single_die,-12334.0,-65800.0,0.0,1.0,False,,,,,-14096.0,-66622.5,-10572.0,-64977.5,3524.0,1645.0,-12334.0,-65800.0
HPLMP01S1A,48,single_die,-8810.0,-65800.0,0.0,1.0,False,,,,,-10572.0,-66622.5,-7048.0,-64977.5,3524.0,1645.0,-8810.0,-65800.0
HPLMP01S1A,49,single_die,-5286.0,-65800.0,0.0,1.0,False,,,,,-7048.0,-66622.5,-3524.0,-64977.5,3524.0,1645.0,-5286.0,-65800.0
HPLMP01S1A,50,single_die,-1762.0,-65800.0,0.0,1.0,False,,,,,-3524.0,-66622.5,0.0,-64977.5,3524.0,1645.0,-1762.0,-65800.0
HPLMP01S1A,51,single_die,1762.0,-65800.0,0.0,1.0,False,,,,,0.0,-66622.5,3524.0,-64977.5,3524.0,1645.0,1762.0,-65800.0
HPLMP01S1A,52,single_die,5286.0,-65800.0,0.0,1.0,False,,,,,3524.0,-66622.5,7048.0,-64977.5,3524.0,1645.0,5286.0,-65800.0
HPLMP01S1A,53,single_die,8810.0,-65800.0,0.0,1.0,False,,,,,7048.0,-66622.5,10572.0,-64977.5,3524.0,1645.0,8810.0,-65800.0
HPLMP01S1A,54,single_die,12334.0,-65800.0,0.0,1.0,False,,,,,10572.0,-66622.5,14096.0,-64977.5,3524.0,1645.0,12334.0,-65800.0
HPLMP01S1A,55,single_die,-19382.0,-64155.0,0.0,1.0,False,,,,,-21144.0,-64977.5,-17620.0,-63332.5,3524.0,1645.0,-19382.0,-64155.0
HPLMP01S1A,56,single_die,-15858.0,-64155.0,0.0,1.0,False,,,,,-17620.0,-64977.5,-14096.0,-63332.5,3524.0,1645.0,-15858.0,-64155.0
HPLMP01S1A,57,single_die,-12334.0,-64155.0,0.0,1.0,False,,,,,-14096.0,-64977.5,-10572.0,-63332.5,3524.0,1645.0,-12334.0,-64155.0
HPLMP01S1A,58,single_die,-8810.0,-64155.0,0.0,1.0,False,,,,,-10572.0,-64977.5,-7048.0,-63332.5,3524.0,1645.0,-8810.0,-64155.0
HPLMP01S1A,59,single_die,-5286.0,-64155.0,0.0,1.0,False,,,,,-7048.0,-64977.5,-3524.0,-63332.5,3524.0,1645.0,-5286.0,-64155.0
HPLMP01S1A,60,single_die,-1762.0,-64155.0,0.0,1.0,False,,,,,-3524.0,-64977.5,0.0,-63332.5,3524.0,1645.0,-1762.0,-64155.0
HPLMP01S1A,61,single_die,1762.0,-64155.0,0.0,1.0,False,,,,,0.0,-64977.5,3524.0,-63332.5,3524.0,1645.0,1762.0,-64155.0
HPLMP01S1A,62,single_die,5286.0,-64155.0,0.0,1.0,False,,,,,3524.0,-64977.5,7048.0,-63332.5,3524.0,1645.0,5286.0,-64155.0
HPLMP01S1A,63,single_die,8810.0,-64155.0,0.0,1.0,False,,,,,7048.0,-64977.5,10572.0,-63332.5,3524.0,1645.0,8810.0,-64155.0
HPLMP01S1A,64,single_die,12334.0,-64155.0,0.0,1.0,False,,,,,10572.0,-64977.5,14096.0,-63332.5,3524.0,1645.0,12334.0,-64155.0
HPLMP01S1A,65,single_die,15858.0,-64155.0,0.0,1.0,False,,,,,14096.0,-64977.5,17620.0,-63332.5,3524.0,1645.0,15858.0,-64155.0
HPLMP01S1A,66,single_die,19382.0,-64155.0,0.0,1.0,False,,,,,17620.0,-64977.5,21144.0,-63332.5,3524.0,1645.0,19382.0,-64155.0
HPLMP01S1A,67,single_die,-22906.0,-62510.0,0.0,1.0,False,,,,,-24668.0,-63332.5,-21144.0,-61687.5,3524.0,1645.0,-22906.0,-62510.0
HPLMP01S1A,68,single_die,-19382.0,-62510.0,0.0,1.0,False,,,,,-21144.0,-63332.5,-17620.0,-61687.5,3524.0,1645.0,-19382.0,-62510.0
HPLMP01S1A,69,single_die,-15858.0,-62510.0,0.0,1.0,False,,,,,-17620.0,-63332.5,-14096.0,-61687.5,3524.0,1645.0,-15858.0,-62510.0
HPLMP01S1A,70,single_die,-12334.0,-62510.0,0.0,1.0,False,,,,,-14096.0,-63332.5,-10572.0,-61687.5,3524.0,1645.0,-12334.0,-62510.0
HPLMP01S1A,71,single_die,-8810.0,-62510.0,0.0,1.0,False,,,,,-10572.0,-63332.5,-7048.0,-61687.5,3524.0,1645.0,-8810.0,-62510.0
HPLMP01S1A,72,single_die,-5286.0,-62510.0,0.0,1.0,False,,,,,-7048.0,-63332.5,-3524.0,-61687.5,3524.0,1645.0,-5286.0,-62510.0
HPLMP01S1A,73,single_die,-1762.0,-62510.0,0.0,1.0,False,,,,,-3524.0,-63332.5,0.0,-61687.5,3524.0,1645.0,-1762.0,-62510.0
HPLMP01S1A,74,single_die,1762.0,-62510.0,0.0,1.0,False,,,,,0.0,-63332.5,3524.0,-61687.5,3524.0,1645.0,1762.0,-62510.0
HPLMP01S1A,75,single_die,5286.0,-62510.0,0.0,1.0,False,,,,,3524.0,-63332.5,7048.0,-61687.5,3524.0,1645.0,5286.0,-62510.0
HPLMP01S1A,76,single_die,8810.0,-62510.0,0.0,1.0,False,,,,,7048.0,-63332.5,10572.0,-61687.5,3524.0,1645.0,8810.0,-62510.0
HPLMP01S1A,77,single_die,12334.0,-62510.0,0.0,1.0,False,,,,,10572.0,-63332.5,14096.0,-61687.5,3524.0,1645.0,12334.0,-62510.0
