kind,pad_name,x,y,x1,y1,x2,y2
pad,1,254.34420974767806,108.53664420152866,,,,
pad,2,254.58806608038134,128.95252321854193,,,,
pad,3,260.20486814957405,172.3199288501587,,,,
pad,4,261.1774168468701,193.73038335825441,,,,
pad,5,175.20160680529295,190.86153119092629,,,,
pad,6,173.5559299745212,179.58888797567187,,,,
pad,7,169.39270156981996,122.72302128708802,,,,
pad,8,166.26226678721127,101.78548532916905,,,,
die,die3,,,221.07388838661961,84.3400468480315,289.12681844333036,148.6122585682584
die,die4,,,229.5891863874307,160.77221782854286,290.73819600360554,205.48332163391802
die,die2,,,138.15056710775045,156.07892249527407,202.42277882797728,207.49669187145557
die,die1,,,133.3864551656119,86.03254705350537,202.0,140.0
pin,A32:8,-101.0,-26.0,,,,
pin,B32:8,-106.0,12.0,,,,
pin,A33:7,-86.0,-7.0,,,,
pin,A36:5,-62.0,95.0,,,,
pin,B36:5,-73.0,40.0,,,,
pin,A34:6,-98.0,22.0,,,,
pin,B34:6,-91.0,0.0,,,,
pin,B33:7,-90.0,13.0,,,,
pin,A13:1,137.40650000000005,-42.97429374999996,,,,
pin,B13:1,140.40650000000005,-19.97429374999996,,,,
pin,A12:2,64.55650000000003,12.975706250000002,,,,
pin,B12:2,78.55650000000003,-9.024293749999998,,,,
pin,A9:4,185.51529421875017,30.580015406250084,,,,
pin,B9:4,215.51529421875017,8.580015406250084,,,,
pin,A11:3,129.07791921875014,-14.835484593749811,,,,
pin,B11:3,138.07791921875014,12.164515406250189,,,,
pin,17:8,-77.20160680529295,-52.003308128544404,,,,
pin,18:7,-88.20160680529295,-9.931474480151223,,,,
pin,19:6,-69.68931947069939,-7.177221172022655,,,,
pin,20:5,-72.20160680529295,29.138468809073714,,,,
pin,8:1,48.75415879017021,3.382859168242021,,,,
pin,7:2,60.623724007561464,-0.095401701323226,,,,
pin,5:4,45.822583153129926,6.269616641745586,,,,
pin,6:3,51.795131850425946,-5.319928850158703,,,,
