cell,polygon_index,layer,datatype,point_count,bbox_min_x_um,bbox_min_y_um,bbox_max_x_um,bbox_max_y_um,bbox_width_um,bbox_height_um,bbox_center_x_um,bbox_center_y_um
test_die,49,9,0,119,352.728,91.294,380.73900000000003,241.514,28.011000000000024,150.22000000000003,366.73350000000005,166.404
test_die,50,9,0,64,377.1,78.313,380.73900000000003,91.294,3.63900000000001,12.980999999999995,378.9195,84.8035
test_die,51,9,0,56,352.728,29.935000000000002,355.5,91.294,2.7719999999999914,61.358999999999995,354.11400000000003,60.6145
test_die,52,9,0,119,319.92900000000003,28.183,352.728,241.514,32.79899999999998,213.33100000000002,336.3285,134.8485
test_die,53,9,0,117,330.822,22.5,351.778,28.183,20.956000000000017,5.683,341.3,25.3415
test_die,54,9,0,118,286.945,34.54,319.92900000000003,241.514,32.98400000000004,206.97400000000002,303.437,138.02700000000002
test_die,55,9,0,118,286.945,22.5,303.79200000000003,34.54,16.847000000000037,12.04,295.36850000000004,28.52
test_die,56,9,0,119,260.817,82.561,286.945,241.514,26.127999999999986,158.953,273.881,162.03750000000002
test_die,57,9,0,119,227.78900000000002,82.561,260.817,241.514,33.02799999999999,158.953,244.303,162.03750000000002
test_die,58,9,0,119,206.352,89.925,227.78900000000002,241.514,21.437000000000012,151.589,217.0705,165.7195
test_die,59,9,0,118,158.465,44.262,206.352,241.514,47.887,197.252,182.4085,142.888
test_die,60,9,0,118,186.516,22.5,203.8,44.262,17.28400000000002,21.762,195.15800000000002,33.381
test_die,61,9,0,118,174.69400000000002,23.452,186.516,44.262,11.821999999999974,20.81,180.60500000000002,33.857
test_die,62,9,0,108,125.453,249.91400000000002,138.48,266.479,13.026999999999987,16.56499999999997,131.9665,258.1965
test_die,63,9,0,107,112.12,249.91400000000002,125.453,266.48,13.332999999999998,16.566000000000003,118.7865,258.197
test_die,64,9,0,17,155.92000000000002,242.815,158.465,244.51500000000001,2.5449999999999875,1.700000000000017,157.1925,243.66500000000002
test_die,65,9,0,91,105.92,242.815,144.68,249.91400000000002,38.760000000000005,7.099000000000018,125.30000000000001,246.36450000000002
test_die,66,9,0,108,99.84,97.36500000000001,158.465,242.815,58.625,145.45,129.1525,170.09
test_die,67,9,0,108,71.671,296.908,87.8,316.48,16.12899999999999,19.572000000000003,79.7355,306.694
test_die,68,9,0,107,60.607,296.908,71.671,315.942,11.064000000000007,19.033999999999992,66.13900000000001,306.425
test_die,69,9,0,108,41.792,253.52,87.808,296.908,46.016000000000005,43.388000000000005,64.80000000000001,275.214
test_die,70,9,0,107,41.792,97.36500000000001,99.84,253.52,58.048,156.155,70.816,175.4425
test_die,71,9,0,108,10.006,37.589,41.792,241.818,31.786,204.229,25.899,139.70350000000002
test_die,72,9,0,107,28.529,22.5,41.792,37.589,13.263000000000002,15.088999999999999,35.1605,30.0445
test_die,73,9,0,108,-13.535,31.888,10.006,241.818,23.541,209.93,-1.7645,136.853
test_die,74,9,0,107,-13.535,22.5,3.407,31.888,16.942,9.388000000000002,-5.064,27.194000000000003
test_die,75,9,0,108,-35.093,260.925,-14.308,266.48,20.785000000000004,5.555000000000007,-24.7005,263.7025
test_die,76,9,0,108,-41.306,97.406,-13.535,260.925,27.770999999999997,163.519,-27.420499999999997,179.1655
test_die,77,9,0,108,-71.215,247.423,-60.342,315.983,10.873000000000005,68.56,-65.77850000000001,281.703
test_die,78,9,0,107,-71.215,97.406,-41.306,247.423,29.909000000000006,150.017,-56.2605,172.4145
test_die,79,9,0,108,-87.246,302.908,-71.215,316.48,16.03099999999999,13.572000000000003,-79.2305,309.694
test_die,80,9,0,108,-100.313,97.424,-71.215,302.908,29.098,205.484,-85.76400000000001,200.166
test_die,81,9,0,108,-130.071,306.868,-112.538,316.48,17.533,9.612000000000023,-121.30449999999999,311.674
test_die,82,9,0,107,-130.071,97.424,-100.313,306.868,29.757999999999996,209.444,-115.19200000000001,202.14600000000002
test_die,83,9,0,108,-187.335,89.066,-130.071,241.574,57.26400000000001,152.508,-158.703,165.32
test_die,84,9,0,107,-171.88,38.921,-130.071,89.066,41.809,50.145,-150.9755,63.9935
test_die,85,9,0,107,-156.942,22.624,-145.56900000000002,38.921,11.37299999999999,16.297,-151.2555,30.7725
test_die,86,9,0,107,-171.20000000000002,22.5,-156.942,38.921,14.25800000000001,16.421,-164.07100000000003,30.7105
test_die,87,9,0,42,-191.306,244.71800000000002,-187.335,252.14600000000002,3.9710000000000036,7.427999999999997,-189.3205,248.43200000000002
test_die,88,9,0,68,-212.88,244.71800000000002,-208.095,308.046,4.784999999999997,63.327999999999975,-210.4875,276.382
test_die,89,9,0,108,-212.88,95.47800000000001,-187.335,244.71800000000002,25.544999999999987,149.24,-200.10750000000002,170.098
test_die,90,9,0,107,-235.006,311.052,-214.393,316.48,20.613,5.427999999999997,-224.6995,313.766
test_die,91,9,0,107,-237.26,95.47800000000001,-212.88,311.052,24.379999999999995,215.574,-225.07,203.26500000000001
test_die,92,9,0,45,-241.306,294.718,-237.26,302.755,4.046000000000021,8.036999999999978,-239.28300000000002,298.7365
test_die,93,9,0,64,-262.777,294.718,-258.095,307.734,4.6819999999999595,13.015999999999963,-260.43600000000004,301.226
test_die,94,9,0,109,-262.777,95.47800000000001,-237.26,294.718,25.516999999999996,199.24,-250.0185,195.098
test_die,95,9,0,107,-286.529,309.76,-263.616,316.48,22.91300000000001,6.720000000000027,-275.0725,313.12
test_die,96,9,0,107,-317.29900000000004,95.47800000000001,-262.777,309.76,54.52200000000005,214.28199999999998,-290.038,202.619
test_die,97,9,0,92,597.8000000000001,429.22200000000004,602.489,448.827,4.6889999999999645,19.60499999999996,600.1445000000001,439.0245
test_die,98,9,0,48,597.8340000000001,389.90000000000003,602.489,398.73900000000003,4.654999999999973,8.838999999999999,600.1615,394.31950000000006
test_die,99,9,0,102,597.8000000000001,376.42,611.525,389.90000000000003,13.724999999999909,13.480000000000018,604.6625,383.16
test_die,100,9,0,188,597.8000000000001,326.42,611.525,351.54,13.724999999999909,25.120000000000005,604.6625,338.98
test_die,101,9,0,137,597.8000000000001,270.28000000000003,611.525,301.54,13.724999999999909,31.25999999999999,604.6625,285.91
test_die,102,9,0,120,511.728,417.423,539.2040000000001,822.5,27.476000000000056,405.077,525.466,619.9615
test_die,103,9,0,120,514.659,411.48,535.942,417.423,21.283000000000015,5.942999999999984,525.3005,414.4515
test_die,104,9,0,121,477.964,430.007,511.728,822.5,33.76400000000001,392.493,494.846,626.2535
test_die,105,9,0,9,511.25100000000003,429.046,511.728,430.007,0.47699999999997544,0.9610000000000127,511.4895,429.5265
test_die,106,9,0,112,477.964,411.767,489.349,430.007,11.384999999999991,18.24000000000001,483.6565,420.887
test_die,107,9,0,120,442.731,475.51,477.964,822.5,35.233000000000004,346.99,460.34749999999997,649.005
test_die,108,9,0,120,462.706,411.48,477.964,475.51,15.257999999999981,64.02999999999997,470.33500000000004,443.495
test_die,109,9,0,120,412.79900000000004,467.293,442.731,822.5,29.93199999999996,355.207,427.765,644.8965000000001
test_die,110,9,0,119,414.73900000000003,461.48,435.86,467.293,21.12099999999998,5.812999999999988,425.2995,464.3865
test_die,111,9,0,102,462.894,305.51,478.12,316.48,15.225999999999999,10.970000000000027,470.507,310.995
test_die,112,9,0,102,450.913,241.495,478.12,305.51,27.206999999999994,64.01499999999999,464.5165,273.5025
test_die,113,9,0,133,434.458,241.495,449.687,262.488,15.228999999999985,20.992999999999995,442.0725,251.9915
test_die,114,9,0,133,412.79900000000004,241.495,434.458,266.48,21.658999999999992,24.985000000000014,423.62850000000003,253.9875
test_die,115,9,0,101,481.35200000000003,-77.431,501.248,-72.5,19.895999999999958,4.930999999999997,491.3,-74.96549999999999
test_die,116,9,0,103,477.665,-125.605,503.8,-77.431,26.13499999999999,48.17400000000001,490.7325,-101.518
test_die,117,9,0,83,526.692,-141.945,539.2040000000001,-125.605,12.512000000000057,16.33999999999999,532.9480000000001,-133.775
test_die,118,9,0,37,477.665,-141.945,505.907,-125.605,28.241999999999962,16.33999999999999,491.786,-133.775
test_die,119,9,0,120,477.665,-822.5,539.2040000000001,-141.945,61.539000000000044,680.5550000000001,508.43450000000007,-482.22249999999997
test_die,120,9,0,113,444.41200000000003,-91.81700000000001,455.822,-72.893,11.409999999999968,18.924000000000007,450.117,-82.355
test_die,121,9,0,112,428.8,-91.81700000000001,444.41200000000003,-72.5,15.612000000000023,19.317000000000007,436.606,-82.1585
test_die,122,9,0,60,466.45300000000003,-97.499,477.665,-91.81700000000001,11.211999999999989,5.681999999999988,472.059,-94.658
test_die,123,9,0,60,428.8,-97.499,466.147,-91.81700000000001,37.34699999999998,5.681999999999988,447.4735,-94.658
test_die,124,9,0,118,412.79900000000004,-822.5,477.665,-97.499,64.86599999999999,725.001,445.232,-459.9995
test_die,125,9,0,119,394.00600000000003,474.13300000000004,412.79900000000004,822.5,18.793000000000006,348.36699999999996,403.40250000000003,648.3165
test_die,126,9,0,119,346.234,433.545,394.00600000000003,822.5,47.77200000000005,388.955,370.12,628.0225
test_die,127,9,0,119,370.375,411.48,387.8,433.545,17.42500000000001,22.064999999999998,379.0875,422.51250000000005
test_die,128,9,0,119,358.348,412.491,370.375,433.545,12.026999999999987,21.05400000000003,364.3615,423.01800000000003
test_die,129,9,0,121,286.324,480.007,346.234,822.5,59.90999999999997,342.493,316.279,651.2535
test_die,130,9,0,61,311.25100000000003,432.488,346.234,480.007,34.98299999999995,47.519000000000005,328.7425,456.2475
test_die,131,9,0,59,286.324,468.088,289.349,480.007,3.0249999999999773,11.918999999999983,287.8365,474.0475
test_die,132,9,0,119,329.439,412.185,341.142,432.488,11.702999999999975,20.302999999999997,335.2905,422.3365
test_die,133,9,0,119,312.8,411.48,329.439,432.488,16.63900000000001,21.00799999999998,321.1195,421.98400000000004
test_die,134,9,0,120,252.13400000000001,467.293,286.324,822.5,34.19,355.207,269.22900000000004,644.8965000000001
test_die,135,9,0,119,264.73900000000003,461.48,285.86,467.293,21.12099999999998,5.812999999999988,275.2995,464.3865
test_die,136,9,0,118,158.465,477.166,252.13400000000001,822.5,93.66900000000001,345.334,205.29950000000002,649.833
test_die,137,9,0,119,162.387,432.927,238.213,477.166,75.826,44.238999999999976,200.3,455.04650000000004
test_die,138,9,0,75,278.8,23.283,286.945,82.561,8.144999999999982,59.278000000000006,282.8725,52.922000000000004
test_die,139,9,0,160,229.04,72.5,253.56,82.561,24.52000000000001,10.061000000000007,241.3,77.5305
test_die,140,9,0,79,374.46500000000003,-144.465,408.135,-137.137,33.66999999999996,7.328000000000003,391.3,-140.801
test_die,141,9,0,40,352.6,-144.465,358.135,-137.137,5.534999999999968,7.328000000000003,355.3675,-140.801
test_die,142,9,0,118,352.6,-822.5,412.79900000000004,-144.465,60.19900000000001,678.035,382.69950000000006,-483.4825
test_die,143,9,0,60,326.692,-91.94500000000001,352.6,-80.43,25.908000000000015,11.515,339.646,-86.1875
test_die,144,9,0,60,285.34000000000003,-91.94500000000001,305.907,-80.43,20.56699999999995,11.515,295.62350000000004,-86.1875
test_die,145,9,0,120,285.34000000000003,-822.5,352.6,-91.94500000000001,67.25999999999999,730.555,318.97,-457.2225
test_die,146,9,0,40,276.607,-142.072,285.34000000000003,-133.928,8.733000000000004,8.144000000000005,280.97350000000006,-138.0
test_die,147,9,0,80,226.607,-142.072,255.994,-133.928,29.387,8.144000000000005,241.3005,-138.0
