recipe_name,die_size_x,die_size_y,x_move_first,y_move_first,align_die,shot_rows,shot_cols,row,col,x_um,y_um,included,die1,die2,die3,die4
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,3,16,47345.0,7925.0,1,A3-64,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,3,15,44560.0,7925.0,1,A3-63,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,3,14,41775.0,7925.0,1,A3-62,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,14,41775.0,9510.0,1,A3-52,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,15,44560.0,9510.0,1,A3-53,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,16,47345.0,9510.0,1,A3-54,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,17,50130.0,9510.0,1,A3-55,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,18,52915.0,9510.0,1,A4-50,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,19,55700.0,9510.0,1,A4-51,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,20,58485.0,9510.0,1,A4-52,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,21,61270.0,9510.0,1,A4-53,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,22,64055.0,9510.0,1,A4-54,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,23,66840.0,9510.0,1,A4-55,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,24,69625.0,9510.0,1,A5-50,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,25,72410.0,9510.0,1,A5-51,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,26,75195.0,9510.0,1,A5-52,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,27,77980.0,9510.0,1,A5-53,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,28,80765.0,9510.0,1,A5-54,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,29,83550.0,9510.0,1,A5-55,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,30,86335.0,9510.0,1,A6-50,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,31,89120.0,9510.0,1,A6-51,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,32,91905.0,9510.0,1,A6-52,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,4,33,94690.0,9510.0,1,A6-53,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,35,100260.0,11095.0,1,A6-45,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,34,97475.0,11095.0,1,A6-44,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,33,94690.0,11095.0,1,A6-43,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,32,91905.0,11095.0,1,A6-42,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,31,89120.0,11095.0,1,A6-41,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,30,86335.0,11095.0,1,A6-40,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,29,83550.0,11095.0,1,A5-45,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,28,80765.0,11095.0,1,A5-44,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,27,77980.0,11095.0,1,A5-43,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,25,72410.0,11095.0,1,A5-41,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,24,69625.0,11095.0,1,A5-40,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,23,66840.0,11095.0,1,A4-45,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,22,64055.0,11095.0,1,A4-44,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,21,61270.0,11095.0,1,A4-43,,,
Lamp 21PCM whole wafer,2785,1585,-69625,-68155,54-00,,,5,20,58485.0,11095.0,1,A4-42,,,
