step,command,major_index,device_ids,MovesMajorX,MovesMajorY,MovesMinorX,MovesMinorY
151,J,151,A2-25,33420,14265,0,0
152,J,152,A2-13,27850,15850,0,0
153,J,153,A2-14,30635,15850,0,0
154,J,154,A2-15,33420,15850,0,0
155,J,155,A3-10,36205,15850,0,0
156,J,156,A3-11,38990,15850,0,0
157,J,157,A3-12,41775,15850,0,0
158,J,158,A3-13,44560,15850,0,0
159,J,159,A3-14,47345,15850,0,0
160,J,160,A3-15,50130,15850,0,0
161,J,161,A4-10,52915,15850,0,0
162,J,162,A4-11,55700,15850,0,0
163,J,163,A4-12,58485,15850,0,0
164,J,164,A4-13,61270,15850,0,0
165,J,165,A4-14,64055,15850,0,0
166,J,166,A4-15,66840,15850,0,0
167,J,167,A5-10,69625,15850,0,0
168,J,168,A5-11,72410,15850,0,0
169,J,169,A5-12,75195,15850,0,0
170,J,170,A5-13,77980,15850,0,0
171,J,171,A5-14,80765,15850,0,0
172,J,172,A5-15,83550,15850,0,0
173,J,173,A6-10,86335,15850,0,0
174,J,174,A6-11,89120,15850,0,0
175,J,175,A6-12,91905,15850,0,0
176,J,176,A6-13,94690,15850,0,0
177,J,177,A6-14,97475,15850,0,0
178,J,178,A6-15,100260,15850,0,0
179,J,179,A7-10,103045,15850,0,0
180,J,180,A7-11,105830,15850,0,0
181,J,181,A7-12,108615,15850,0,0
182,J,182,A7-02,108615,17435,0,0
183,J,183,A7-01,105830,17435,0,0
184,J,184,A7-00,103045,17435,0,0
185,J,185,A6-05,100260,17435,0,0
186,J,186,A6-04,97475,17435,0,0
187,J,187,A6-03,94690,17435,0,0
188,J,188,A6-02,91905,17435,0,0
189,J,189,A6-01,89120,17435,0,0
190,J,190,A6-00,86335,17435,0,0
191,J,191,A5-05,83550,17435,0,0
192,J,192,A5-04,80765,17435,0,0
193,J,193,A5-03,77980,17435,0,0
194,J,194,A5-02,75195,17435,0,0
195,J,195,A5-01,72410,17435,0,0
196,J,196,A5-00,69625,17435,0,0
197,J,197,A4-05,66840,17435,0,0
198,J,198,A4-04,64055,17435,0,0
199,J,199,A4-03,61270,17435,0,0
200,J,200,A4-02,58485,17435,0,0
201,J,201,A4-01,55700,17435,0,0
202,J,202,A4-00,52915,17435,0,0
203,J,203,A3-05,50130,17435,0,0
204,J,204,A3-04,47345,17435,0,0
205,J,205,A3-03,44560,17435,0,0
206,J,206,A3-02,41775,17435,0,0
207,J,207,A3-01,38990,17435,0,0
208,J,208,A3-00,36205,17435,0,0
209,J,209,A2-05,33420,17435,0,0
210,J,210,A2-04,30635,17435,0,0
211,J,211,A2-03,27850,17435,0,0
212,J,212,92-72,25065,19020,0,0
213,J,213,92-73,27850,19020,0,0
214,J,214,92-74,30635,19020,0,0
215,J,215,92-75,33420,19020,0,0
216,J,216,93-70,36205,19020,0,0
217,J,217,93-71,38990,19020,0,0
218,J,218,93-72,41775,19020,0,0
219,J,219,93-73,44560,19020,0,0
220,J,220,93-74,47345,19020,0,0
221,J,221,93-75,50130,19020,0,0
222,J,222,94-70,52915,19020,0,0
223,J,223,94-71,55700,19020,0,0
224,J,224,94-72,58485,19020,0,0
225,J,225,94-73,61270,19020,0,0
226,J,226,94-74,64055,19020,0,0
227,J,227,94-75,66840,19020,0,0
228,J,228,95-70,69625,19020,0,0
229,J,229,95-71,72410,19020,0,0
230,J,230,95-72,75195,19020,0,0
231,J,231,95-73,77980,19020,0,0
232,J,232,95-74,80765,19020,0,0
233,J,233,95-75,83550,19020,0,0
234,J,234,96-70,86335,19020,0,0
235,J,235,96-71,89120,19020,0,0
236,J,236,96-72,91905,19020,0,0
237,J,237,96-73,94690,19020,0,0
