kind,pad_name,x,y,x1,y1,x2,y2
pad,J1,170.0,246.0,,,,
pad,J21,207.0,197.0,,,,
pad,J23,161.0,197.0,,,,
pad,J45,80.0,241.0,,,,
pad,J27,74.0,193.0,,,,
pad,J25,118.0,192.0,,,,
pad,J47,123.0,245.0,,,,
pad,J3,211.0,245.0,,,,
pin,1:J1,24.0,36.0,,,,
pin,23:J45,-33.0,27.0,,,,
pin,2:J3,27.0,27.0,,,,
pin,24:J47,-41.0,32.0,,,,
