kind,recipe,pin,pad,net,seq,bench,minor_moves,shortcut,fast_current_settle,manual_mode,align_die,wafer_map,shot_origin_x,shot_origin_y,name,type,mode,instrument,chan,target,hi,lo,level,limit,shape,freq,conn,min,max,avg_count,avg_delay,nplc,his,los,settle_delay,abs_value,mrange,die,route,instrument_key,terminals
STEP,FULL,,,,15,,,,,,,,,,settle,delay,,,,,,,100,,,,,,,,,,,,,,,,switch,,
STEP,FULL,,,,16,,,,,,,,,,check,passfail,,,,J21-J19 Trace shorting,,,,,,,,,10000,,,,,,,,,1,switch,,
STEP,FULL,,,,17,,,,,,,,,,release,open,,,,J21-J19 Trace shorting,,,,,,,"2F11,2E10",,,,,,,,,,,,switch,,
SITE,FULL,,,,1,,,,,,,,,,1,,,,,,-6,-1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,2,,,,,,,,,,2,,,,,,-6,0,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,3,,,,,,,,,,3,,,,,,-6,1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,4,,,,,,,,,,4,,,,,,-6,2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,5,,,,,,,,,,5,,,,,,-5,-3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,6,,,,,,,,,,6,,,,,,-5,-2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,7,,,,,,,,,,7,,,,,,-5,-1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,8,,,,,,,,,,8,,,,,,-5,0,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,9,,,,,,,,,,9,,,,,,-5,1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,10,,,,,,,,,,10,,,,,,-5,2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,11,,,,,,,,,,11,,,,,,-5,3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,12,,,,,,,,,,12,,,,,,-5,4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,13,,,,,,,,,,13,,,,,,-4,-4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,14,,,,,,,,,,14,,,,,,-4,-3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,15,,,,,,,,,,15,,,,,,-4,-2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,16,,,,,,,,,,16,,,,,,-4,-1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,17,,,,,,,,,,17,,,,,,-4,0,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,18,,,,,,,,,,18,,,,,,-4,1,,,,,,,,,,,,,,,,,,,
